0,1,2,3,4,5,6
321423,1938,14048,1,1670,910,3454
21225,294979,3532,0,1329,728,5006
26473,3631,394094,24,1184,1207,3673
0,0,59,191217,0,208,52
1574,109,34,0,280264,13729,396
1123,467,180,9,17105,151787,0
19399,925,1722,0,840,163,188705
