0,1,2,3,4,5,6
9990,9270,12505,5663,8764,4893,6304
9234,9007,11822,5343,8210,4610,5851
12369,11779,15889,6991,10623,6142,7708
5580,5417,6986,3033,4787,2654,3410
8509,8269,10700,4822,7526,4191,5300
4924,4711,6190,2724,4212,2439,3130
6210,5773,7649,3392,5361,2916,3741
