Epoch,Loss,Accuracy
1,0.19854598873156246,92.3572350613927
2,0.13136306773622045,94.33310717666848
3,0.12167159087531276,94.73299228821038
4,0.1165960306461978,94.92586881125122
5,0.11336346387982392,95.0619553675351
6,0.11127379008213793,95.15014992420372
7,0.1093168334987051,95.23062418585236
8,0.10777213843635958,95.29709723449872
9,0.10631569882995212,95.36854267654778
10,0.10494254790242806,95.4106771680126
11,0.10398222706313309,95.4483626759066
12,0.10291900199705593,95.50423667545778
13,0.1019646401073558,95.55703564224676
14,0.10129637297643634,95.58719713380776
15,0.1006803586637445,95.60427337957223
16,0.09985761462948067,95.64745469070077
17,0.09922753031522251,95.6721858052562
18,0.09868877530228602,95.69724405095657
19,0.09822728552507881,95.71857300160491
20,0.09762697339775159,95.76051121438277
21,0.09719849361531244,95.76149260781752
22,0.09671262982764638,95.78589659122804
23,0.09616456144820275,95.81599265656006
24,0.09660832730866104,95.79577595180442
25,0.09610892412995445,95.81049685332552
26,0.09557911357637684,95.8467429841819
27,0.09525483153991539,95.86211814799282
28,0.09474607817778975,95.87775501671968
29,0.09428618883228869,95.90641170501407
30,0.09402067330300184,95.91674904919333
31,0.09368124400618522,95.9247310491292
32,0.09326862297351594,95.95057440957736
33,0.09327311597593003,95.95338773742361
34,0.09277349812704799,95.96562244224336
35,0.09267121449754688,95.9730156061184
36,0.09240718248075681,95.99146580269151
37,0.09198478089483032,96.01122452384426
38,0.09169232548843503,96.01887939263523
39,0.0917053059470098,96.03000185156228
40,0.09179928440730907,96.01809427788744
41,0.09168071044958737,96.03386199907226
42,0.09118464377131061,96.05054568746283
43,0.09100456640798134,96.04662011372388
44,0.09084072103811285,96.07867896592536
45,0.09057231017267055,96.08018376919196
46,0.09054427817213632,96.08672639209023
47,0.09050575057558909,96.09189506417987
48,0.09004874775258126,96.11525222792666
49,0.08984218849524066,96.10969099846314
50,0.0895393321247924,96.136581178575
51,0.08954102935258987,96.1312816540274
52,0.08944819519397673,96.13730086709381
53,0.08942684419173462,96.13409498187366
54,0.08911303008301087,96.15254517844677
55,0.08884591749218566,96.15522765383506
56,0.08865137058843355,96.16733150619685
57,0.08866502142795682,96.17066824387496
58,0.08860812652265468,96.16896716192142
59,0.08856307120706139,96.17439753892697
60,0.08837389911354843,96.18741735849451
61,0.08825670563891216,96.18087473559625
62,0.08790847015952882,96.19350199778991
63,0.08788671961686619,96.20580212883864
64,0.087749557288745,96.21509265335418
65,0.08757721401401806,96.21332614517165
66,0.08729020268662294,96.22333635820598
67,0.08712404005113185,96.2296827024173
68,0.0870731341052084,96.23681416137642
69,0.08696798605186205,96.25166591535547
70,0.08679611797125372,96.24911429242515
71,0.08674184461369423,96.25631117761324
72,0.08657327080024957,96.24872173505125
73,0.0867042783119692,96.24872173505125
74,0.08623186704465037,96.26677937425046
75,0.0862653613358053,96.27090122667637
76,0.08613243635611743,96.28712693146406
77,0.08606909822074969,96.28300507903816
78,0.0858717311119765,96.29242645601165
79,0.0857060391638602,96.3028292264199
80,0.08584520101394888,96.30008132480262
81,0.08561899525196297,96.29805311170416
82,0.08550852391462922,96.30596968541106
83,0.08533176082492487,96.31663416073523
84,0.08512480574987802,96.3197746197264
85,0.08526629522891045,96.31349370174406
86,0.08510934020876797,96.32612096393771
87,0.08502827551485265,96.33449552124749
88,0.08495237020705572,96.32684065245653
89,0.08477124950944108,96.33619660320105
90,0.08465315680408077,96.34489829165574
91,0.08480398689230066,96.3450291441137
92,0.08461801588511757,96.34908557031062
93,0.08436416489709984,96.36812460294458
94,0.08462987750925799,96.32952312784481
95,0.08461865187705131,96.34758076704402
96,0.08430924788800054,96.36079686529851
97,0.08450347825155806,96.36419902920561
98,0.08417921499693719,96.37263901274437
99,0.08401042576866383,96.38435030773226
100,0.08399284721478109,96.37931248810061
